flg	text
1	両側の肺炎と呼吸不全を指摘され入院。
1	腎生検結果：光顕では軽度のメサンギウム細胞と基質の増加、尿細管間質はびまん性に高度の炎症細胞浸潤を認め、IF では C3 優位で、IgG、IgM が軽度に糸球体係蹄に沈着、 EM では高度な管内増殖性変化と糸球体基底膜に連続的な肥厚・濃染があり dense deposit disease（DDD）と診断した。
1	患者は methylprednisolone（静脈内、500 mg、使用理由：ネフローゼ症候群）、prednisolone （45 mg、1 日 1 回、使用理由：ネフローゼ症候群）及び prednisolone（35 mg、1 日 1 回、使用理由：ネフローゼ症候群）による治療を受けた。
1	当院到着時は体温 36.4℃、胸部違和感のみ残存していたが、採血で CRP 6.63 mg/dL、CK-MB 55.6 ng/mL、心筋トロポニン I 21.17 ng/mL、CK 815 U/L、D-ダイマー 1.4 mcg/mL の上昇を認めたため、急性心筋炎の疑いで当院入院。
1	入院時の臨床検査では、重度のインスリン分泌能不良を認め、空腹時 C-ペプチド免疫反応性（CPR）は 0.33ng/mL、24 時間蓄尿 CPR は 5.74mcg/day 及び 3.82mcg/day、グルカゴン負荷テスト中のデルタ CPR は 0.03ng/mL であった。
1	搬送時に胸痛は消失しており，有意な心電図変化はなく，経胸壁心エコー検査で壁運動異常はなかったが，血液検査でトロポニン I 1.55ng/mL と心筋逸脱酵素が上昇しており，ワクチン接種後の心筋炎や冠攣縮性狭心症の疑いで入院した。
1	心電図検査にて発作性又は持続性の心房性又は心室性不整脈、持続モニターで検出された頻回に出現する心房性期外収縮又は心室性期外収縮、広範な誘導における上に凹型の ST 上昇又は陰性 T 波、aVR 誘導における ST 低下を認めた。
1	血液ガス pH 6.885、HCO3- 15.7、 B.E- 19.0、PaCO2 87.7、PaO2 177.3、Lac 121 と著明な代謝性アシドーシス、Lac 上昇を認め、心肺停止時間がある程度あった事が予想された。
1	10：32  顔面紅潮、頭痛、嘔気 11：28  咳嗽出現、呼吸困難 11：33  O₂6L 開始 11：38  生食 500ml  点滴 11：42 アドレナリン筋注射  （右大腿外側） アナフィラキシーの転帰は不明。
1	SIAD に加え、Sjogren 症候群の既往、難治性吃逆、MRI で脳室周囲白質病変と胸髄正中に 1椎体の信号異常、抗ＡＱＰ－４抗体陽性を認めたことから視神経脊髄炎スペクトラム障害（NMOSD）と診断した。
1	報告時点、血清反応陰性関節炎［圧痕浮腫を伴う寛解性血清反応陰性対称性滑膜炎(RS3P3）］は軽快しており、パルボウイルス B19 感染再燃 （パルボウイルスの再燃又は持続感染の発現）の転帰は不明であった。
1	10 日目に実施された心臓 MRIは、左心室壁の外側セグメントにおける心外膜下後期ガドリニウム増強及び T2 強調画像上の限局性心筋浮腫を伴う LVEF の正常を明らかにし、心筋炎の基準を満たした。
1	MPO-ANCA 183 U/mL と高値から顕微鏡的多発血管炎 (MPA)による急速進行性糸球体腎炎（RPGN）が疑われ、腎生検で pauci-immune 型半月体形成性糸球体腎炎と判明。
1	冠動脈造影検査で有意狭窄やプラーク形成，血栓像はなく，冠動脈攣縮による急性心筋梗塞と診断した.経過観察ののちに過換気負荷試験や運動負荷試験を行い，問題のないことを確認した上で退院した。
1	入院時、呼吸状態及び循環動態が不安定であり気管支鏡検査は施行できなかったが、血液検査で血中好酸球数の上昇を認めており、ステロイドに速やかに反応した経過から、急性好酸球性肺炎と判断。
1	骨髄検査で骨髄巨核球の著明な増加と大型巨核球増加を認め、腎生検所見では、血管内皮細胞の腫大、内皮傷害を伴う TMA 病変を認め、TAFRO 症候群に矛盾しないと考えられた。
1	2022/03/22  頚椎 MRI にて頚椎全長が腫脹し、頚髄の T2 延長信号をびまん性に認め、脳 MRI にて多発 T2 延長信号あり、深部灰白質病変を認めた。
1	偽水晶体性水疱性角膜症に対して Descemet stripping automated endothelial keratoplasty を施行し経過良好であった。
1	心室細動の原因として、本剤接種後の発熱、一過性の心機能低下、トロポニン T 陽性より、急性心筋炎を疑い心筋生検を施行後、救命救急センターに入室し人工呼吸器管理とした。
1	再度診察を行ったところ甲状腺左築に圧痛があり，追加検査にて TSH0.006μ U/mL,Free-T4 3.45ng/dL と甲状腺中毒症の所見がみられた。
0	日付不明、免疫学的検査：陰性（陰性）抗糸球体基底膜抗体は陰性、2 U/mL 未満、 抗糸球体基底膜抗体は 2 U/mL 未満及び顕著な免疫複合体沈着は認めず。
1	髄液検査で髄液細胞数、蛋白増加、IL-6 著明高値、頭部 MR で右大脳半球の広範な腫脹と FLAIR で脳溝の高信号を認め、片側性大脳皮質脳炎が疑われた。
1	発熱と頭痛の症状に関しては、脳脊髄液中の単核球優位な増加、発症 6 日で VZV 遺伝子を検出、VZV IgG も高値で帯状疱疹ウイルスによる髄膜炎と診断。
1	血圧 70 mmHg/-の低血圧、発熱なし、心電図では 190/分の上室性頻脈を認め、点滴輸液を行いながら ATP 10 mg 静脈投与し、洞調律へ回復。
1	2022/03/16  けいれん重積、ミオクローヌスに対して最終的にイーケプラ 2,000 mg、ランドセン 6 mg、ビムパット 300 mg 処方。
1	21 歳男性が、SARS コロナウイルス 2 に対し 2 回目 mRNA ワクチン（商品名不明）接種 31 時間後に胸痛と発熱（38.8 度)を訴えた。
1	入院後は安静·補液などにて経過をみたが肝障害の遷延と黄疸の悪化を認めたため、入院第 4 病日よりメチルプレドニゾロンを開始した ところ改善傾向を示した。
1	2022 年 4 月 8 日血液検査で好酸球増多と炎症反応あり、血管炎由来の末梢神経障害として入院、入院後も正中神経障害、腓骨神経障害は進行していた。
1	2022/04/09 に強直性脊椎炎を伴った第 6 頚椎椎体骨折に対し当院入院中の頸椎骨折術後、貧血、両側胸水、発作性心房細動を発症し抗凝固療法開始。
1	2022/02/21  13:00 頃  運動性メインの失語症を発症し、頭部 MRI 検査で左中大脳動脈遠位の塞栓を認め、心原性脳梗塞と診断。
1	CDC ガイドラインのワクチン後心筋炎の定義を満たし、他に胸痛の代替診断がないことから本剤接種後の心筋炎と診断し、同日当科に緊急入院となった。
1	個々の筋線維の活動電位の合計（CMPA）や神経線維の活動電位の合計 （SNAP）共に低下していたため、慢性炎症性脱髄性多発神経炎の再燃と診断。
1	精査の結果、抗菌薬不応の肺炎であり、濃厚な浸潤影を呈している点から本剤による二次性器質化肺炎を疑い、短期間のステロイド投与を含めた治療を開始。
1	入院第 2 日に再度胸痛を訴え，血液検査でトロポニン I 9.15ng/mL, 有症時の心電図検査で V4-6 誘導の ST 上昇があった。
1	被害妄想、嫉妬妄想が出現し、家族を刃物で追いかけたり、ガラスを割ったりなどしたため、クエチアピン 25 mg を処方されたが効果は得られず。
1	03:25  当院搬送時、BP 143/102、HR 129、BT 36.0、リバーザー8 L で Sp02 95%と酸素化低下を認めた。
1	2021/08/22  核酸検出検査(PCR 法、LAMP 法)にて、COVID-19 病原体(SARS-CoV-2)検査を実施し、陽性。
1	患者はさらに呼吸に関連した胸痛を呈し、心膜炎が疑われたため、心膜炎の再発リスクを減らすために colchicine による治療が行われた。
1	2022 年 3 月 15 日 両下肢遠位にジーンとした錯感覚が出現、３月下旬に筋肉痛、関節痛は落ち着いたが、両下肢痺れは残存していた。
1	心筋逸脱酵素の上昇を認めず心エコーで異常はなかったが、心電図で広範な誘導に ST 上昇を認めたため急性心膜炎を疑われ緊急入院となった。
1	CT 所見は両肺にびまん性のすりガラスがあり、特発性肺腺維症の急性増悪と考え、ステロイドバルス両方 を開始するも病状は悪化をたどった。
1	2022/05/23  定期受診の際、胸部レントゲンで著明な心拡大を認め、心臓超音波で僧帽弁閉鎖不全症の増悪、三尖弁の逆流を認めた。
1	典型的な胸痛、新たな心嚢液貯留、心膜摩擦音、および ECG の変化（広範にて ST 部分の上昇）を示  し、急性心膜炎と診断された。
1	二次性下肢リンパ浮腫を有する患者で、 COVID-19 mRNA ワクチンを接種後、リンパ浮腫病変部に蜂巣炎を生じたと報告され た。
1	2022/03/20 頃  両側側頭部と右後頭部に 10 分程持続する殴られたような頭痛を 1 日 3 回ほど認めるようになった。
0	CKD 合併症の管理として利尿薬、アルカリ化薬、リン吸着薬、球形吸着炭の投与を行いつつ、血液透析又は腹膜透析の導入を検討していた。
1	両側大脳の皮質、左頭頂葉の皮質下白質、脳梁膨大部、両側尾状核、両側小脳半球などが DWI にて高信号を認め、低酸素脳症を示す所見。
1	心筋生検ではリンパ球主体の高度炎症細胞浸潤があり、心臓遅延造影 MRI では心中部下壁・右室下壁に心筋炎、心膜炎併発が疑われた。
1	症状時 12 誘導心電図では洞調律と単発の上室性期外収縮のみを認め、ホルター心電図再検査では回帰性上室性頻拍の再燃は見られず。
1	大脳白質には FLAIR 像で点状高信号を数個所認めたが、そのほかに脊髄を含めて脱髄病変を示唆するような信号異常はなかった。
1	日付不明、心臓磁気共鳴画像法：異常あり（異常あり）、直近のワクチン接種から心臓磁気共鳴画像（cMRI）までの期間は 12日。
1	2022/04/08  プレドニゾロン 30 mg に減量後発熱、炎症反応の増悪を認め、プレドニゾロン 50 mg に増量。
1	心電図から急性心筋梗塞を疑い、心臓カテーテル検査を行ったところ冠動脈の狭窄部位が複数確認されたため、ステント内挿術を行った。
1	発熱のため新型コロナウイルス感染が疑われたが、ポリメラーゼ連鎖反応 （PCR）検査の陰性以外には、精密検査は施行しなかった。
1	本剤第 1 回目を接種し、翌日から下肢の浮腫と乏尿を生じ、尿蛋白 3+が 3 日間持続し、体重は 67.0kg に増加した。
1	右冠動脈又は左冠動脈に顕著な狭窄はなかったが、左心室造影にて、心尖の前外側壁領域の運動低下を伴う駆出率の軽度低下を認めた。
1	新型コロナウイルスワクチンによる薬物性肝障害が疑われたが、自己抗体陽性であり背景に AIH や PBC の存在も疑われた。
1	2021/07/05  帯状疱疹後神経痛でメチコバール 1,000 mcg、セレコキシブ 200 mg を経口投与開始。
1	当初は 2 回目の本剤接種の 1 週間後、胸痛を伴う微熱（摂氏 37.6 度）を主訴として、他のクリニックを受診した。
1	2021/11/19  CT を撮影し、肺炎、肺膿瘍の診断となり、メロペネム、バンコマイシン、ミカファンギンを投与。
1	抗 MDA5 抗体 1,400 と高値であり、抗 MDA5 抗体陽性間質性肺炎(anti-MDA5-ILD)と診断。
1	同時に Alb 2.1g/dL、Cr 1.75mg/dL、尿蛋白 11.4g/gCr のネフローゼ症候群を認めた。
1	夜、軽度の頭痛、倦怠感、 36.9̶37.5℃の発熱（普段 36℃前半）、両下肢筋力低下、食欲低下が発現し、継続。
1	頚部膿瘍の除外目的に実施した頚部造影 CT にて甲状腺左葉に辺縁に造影効果を伴う濃度不均一な腫瘤性病変を認めた。
1	MRI では大脳皮質、白質や視床、脳幹、右三叉神経などの多数の部位に病変を認めたが、自覚症状は複視のみであった。
1	患者が mRNA ワクチン（商品名、投与目的不明）接種直後に、紫斑、口腔内出血、免疫性血小板減少症を発症した。
1	患者は四肢の圧痕浮腫、急性発症、年齢 50 歳以上、リウマチ因子陰性により RS3PE と診断され入院した。
1	採血にて、トロポニン I、CK/CK-MB が高値であったため、心筋炎の診断となり、安静経過観察目的で入院。
1	2022 年 7 月 8 日 当院外来受診、採血でアミラーゼとリパーゼの上昇を認め急性膵炎（軽症）の診断。
1	2022/03/27  抗原検査にて、COVID-19 病原体(SARS-CoV-2)検査を実施し、陽性。
1	CMR では T2 強調画像で、ガドリニウム遅延増強及び心尖部前壁での輝度上昇を認め、心筋浮腫が示された。
1	V/S. KT36.1 、BP140/78 、P61、 SPO2 98 % 約 2 分焦点合わず発語なし。
1	脳外科医師にも画像を見てもらったが異常なしのため、本剤接種による一時的な全身状態悪化の可能性ありと診断。
1	2022/01/25  COVID-19 病原体（SARS-CoV-2）検査を抗原検査にて実施し、陽性。
1	患者が呼吸時の胸痛を呈したため心膜炎を疑い、これらの症状の緩和のため非ステロイド性抗炎症薬が投与された。
1	右顔面神経麻痺、右耳痛も認め、後日、帯状疱疹ウイルス感染症も明らかになり、ラムゼイハント症候群と診断。
1	血液検査施行し、血清 Cr 1.20 mg/dL、尿蛋白(++)、尿潜血(++)と腎機能障害を呈した。
1	2021/08  中旬、接種 2 日後に朝起きるとぼやけてきて、急激な右眼視力低下を自覚し近医受診。
1	2022 年 7 月 4 日 腹痛出現（心窝部主体） 2022 年 7 月 5 日頃 腹痛のピーク。
1	心臓超音波検査にて、左室駆出率 62%であり、異常な心嚢液貯留を疑う所 見、心膜の炎症所見を認めた。
1	2021/09/18- 2022/01/11、患者は好酸球増加及び全身症状を伴う薬疹のため入院した。
1	2021/07/13  息苦しさが増悪したため当院へ救急搬送され、急性呼吸窮迫症候群の診断で入院。
1	2022/03/16  胸部・ 腹部・ 下肢の造影 CT 検査を実施し、両側肺動脈血栓塞栓の所見。
1	脱水も否定できず補液ラクテック G 500、カロナール 200 6 錠分 3 で 3 日分処方。
1	日付不明、心電図（ECG）ST 部：V3-6 誘導の ST 上昇、V3-6 誘導の ST 上昇。
1	入院時の血糖値が 500 mg/dL 以上あり、脱力感やふらつきは高血糖状態によるものであった。
1	フェキソフェナジン、キンダベート軟膏を処方されたが改善せず、発熱、手掌・ 足底に湿疹を認めた。
1	経胸壁心エコー検査では心機能の低下を認め、心臓磁気共鳴画像では両側心室に浮腫及び炎症を認めた。
1	好中球優位の白血球増加・ 軽度肝障害・ フェリチン著増を認め成人スチル病（AOSD）と診 断。
1	心電図検査では、2、3、aVF、V4-6 で 2 相性から陰性 T 波を認め、異常所見を指摘。
1	頭部 MRI では拡散強調画像で左前頭葉、頭頂葉病変、点状高信号を認め、急性期脳梗塞と診 断。
1	2 回目のワクチン接種後、患者は 1 日目に発熱、2 日目に胸痛を呈し入院したと報告し た。
1	2022 年 7 月 16 日接種後 15 分後より、咽頭違和感、呼吸困難と喘鳴が発現した。
1	2022/03/21  心不全を認め、輸液を 1,500 mL/日に減量し、フロセミド開始。
1	2022/04/04  眼科を受診し、MRI にて脳内に多発の T2 高信号な病変を認めた。
1	CMR 画像にて同病変に非虚血性領域の分布とともに限局性の遅延増強を認め、心筋炎が示された。
1	ステロイド投与後から肝障害は改善傾向を示し、プレドニゾロン (20 ㎎)まで減量し退院した。
1	急性発症の両側性・ 左右対称性の多関節炎で手背に圧痕性浮腫を伴い、RS3PE 症候群と診断。
1	胸部 X 線検査では、血栓・ 塞栓症を示唆する所見があり、肺血管陰性の消失、心拡大を認めた。
1	合併症にはリンパ浮腫（４年間のリンパ浮腫、浮腫に対して特に治療は受けていない）などがあった。
1	肺膿瘍による呼吸不全、脳多発小梗塞や感染に伴う免疫能の低下での単純ヘルペス感染が認められた。
1	2021/09/08  時々ふらつき、左目の視力が落ちた感覚を認めたため、他院に受診指示。
1	患者は、1 日 3L の水を飲み始め、体重は、次の 12日間にわたって 5kg 減少した。
1	臨床検査では、皮膚筋炎特異的皮疹（ゴットロン丘疹、ゴットロン徴候及び爪郭異常）を認め た。
1	血液検査で炎症反応高値、リウマトイド因子陰性、関節エコーで両手関節での滑膜炎の所見あり。
1	頭痛も軽かったが咳がきっかけで猛烈な頭痛出現のため、レルパックスを内服し、暫くして軽快。
1	血液検査では、嘔吐による電解質異常は認めるが、その他の明らかな異常所見は認めなかった。
1	2022/03/16  発熱、下痢、嘔吐、しびれ、以前からあった胃部不快感のため入院。
1	日付不明、腹痛発作時は内部からナイフでつつかれ内臓を引き上げられる感じがするほど痛む。
1	2021/08/29  偏頭痛、判別不能な強い頭痛のためイブプロフェン内服し、軽快。
1	2021/11/04  所見から自己免疫疾患の関与を疑い、メチルプレドニゾロン投与。
1	最大強度投影（MIP）画像より、左腋窩の増強腫瘤及びリンパ節（LN）腫脹が示された。
0	接種前体温:35 度 2021 年 6 月 10 日 コミナティ筋注 1 回目接種。
1	発熱、胸腹水、血小板減少、リンパ節腫大、腎障害を認め TAFRO 症候群が疑われた。
1	2021/08/30  37.8℃の発熱、頭痛のためイブプロフェン内服 し、軽快。
1	眼科受診で両眼の視力低下（右眼 0.06、左眼 1.2)、周辺視野の欠損を認めた。
1	2021/10/15  低酸素血症、KL-6 489 U/mL の上昇を認めた。
1	転倒時に受傷したと思われる左上瞼の直径 10 mm 切創及び左肩の打撲を認めた。
1	日付不明  頭痛が継続し、倦怠感が強く食欲低下を認め、体重 -5 kg となる。
1	肺高分解能コンピュータ断層撮影では、両側のすりガラス陰影及び肺葉の硬化を認めた。
1	水 痘・ 帯状疱疹ウイルス抗原キットにて検査を行い、陽性であり帯状疱疹と診断。
1	本剤契機の自己免疫異常を疑い、メチルプレドニゾロン 500 mg を投与開始。
1	骨髄検査では血小板付着のない巨核球の増加を認め、免疫性血小板減少症と診断した。
1	2021/08/22  右目奥にかつて経験したことの無い強さの頭痛を認めた。
1	2022 年 4 月 18 日 胸痛自覚し、急性の胸痛又は胸部圧迫感あった。
1	SARS- CoV-2 抗体検査は陽性で 40,600 U/mL であった。
1	患者は亜急性甲状腺炎及び甲状腺中毒性周期性四肢麻痺のため、7 日間入院した。
1	胸部レントゲンで心拡大の増悪、血漿 BNP の上昇を認めたため利尿薬を増量。
1	2022 年 1 月 21 日 SARS-CoV-2 検査:（陽性）陽性。
1	2022/02/13  14:00 頃  血小板減少症を伴う血栓症が発現。
1	造影コンピュータ断層撮影にて左内頚静脈血栓及び末梢性肺血栓塞栓症を認めた。
1	日付不明  1 週間程度経過した時期より、悪寒、発熱、肝障害、黄疸が発現。
1	本剤接種後の ADEM もしくは MOG 抗体関連疾患の増悪が考えられた。
1	柳原法にて、安静時非対称・ 部分強閉眼・ 不全頬膨らましを認め、20 点。
1	臨床経過より本剤接種に伴う IgA 腎症および急速進行性糸球体腎炎と診断。
1	2022/05/30-2022/06/09  新型コロナに感染を認めた。
1	神経痛性筋萎縮症、血管自律神経障害による洞性頻脈・ 起立性低血圧が発現。
1	頭頚部 MRI では左視神経に造影効果を認め、視神経炎の診断で同日入院。
1	尿閉と髄液異常を認め、頭部 MRI では異常なく、当初髄膜炎が疑われた。
1	患者は 2 回目の投与を受けた 3 日後に発熱及び胸痛のため来院した。
1	左顔神経知覚障害・ しびれ、左上肢不全麻痺、左上下肢のしびれを認めた。
1	診断は急性心筋心膜炎であり、たこつぼ心筋症は主要な鑑別疾患であっ た。
1	しかし 2 回目 接種 10 日後、患者は重症の口蓋粘膜痛を呈した。
1	心電図にてびまん性 ST 上昇及び左心室に軽微な壁運動異常を認めた。
1	中等度の心内膜心筋線維性肥厚及び軽度の心筋間質性線維症も認められた。
