flg	text
1	血液検査では、正球性貧血(red cell count 2.40 x 10^6/uL, reference range 3.86-4.92 x 10^6/uL; hemoglobin 7.8 g/dL, 11.6-14.8 g/dL; hematocrit 22.8%, 35.1%-44.4%)と、正常の血小板数(159 x 10^3/uL, 158-348 x 10^3/uL), prothrombin time (10.9 s, 9.5-13.5 s), activated partial thromboplastin time (25.9 s, 25.0-38.0 s)と判明した。
1	2022/03/03 02:30心筋炎が発現。
1	患者は心筋炎のため13日間入院した。
0	2022/03/03症状の軽快を認めた。
1	2022/05/09、報告病院の皮膚科を受診した。
0	2022/07/03観察完了。
1	2021/11/17入院。
1	15:46血管迷走神経反射が発現。
1	2022/05/22 38.5°Cの発熱を認めた。
1	2022/03/29 03:30頃心筋炎が発現。
1	2022/01/29 COVID-19を発症したと診断。
0	2022/04/27経過観察実施。
0	2022/03/20症状の回復を認め、退院。
1	2022/05/02心筋炎が発現。
1	2021/07/20頭痛が発現。
1	2022/05/01発熱が発現。
1	10:30アナフィラキシーが発現。
1	22日目、体温は37.4度であった。
1	23日目、体温は摂氏37.5度であった。
0	急性心筋炎の疑いの転帰は、軽快。
1	血小板2,000/μLと低下、免疫性血小板減少性紫斑病(ITP)と診断された。
1	摂氏39度の高熱であった(ワクチン接種から1日以内の入院前)。
0	日付不明プレドニン40 mgに漸減。
1	(HLA)-DR抗原は毛細血管/内皮細胞でびまん性に陽性であった。
1	(心筋損傷)T1強調像におけるガドリニウム遅延造影像。
1	(接種してから)最初の2週間は腕がだるかった。
0	「花粉症」(継続中)、注記:ビラノア錠20mgを花粉症のために経口投与(継続中)。
1	「急性心機能不全」に対して受けた処置。
1	【経過】血液検査でTSH 0.01μIU/mL、FT3 13.79pg/mL、FT4 4.47ng/dLであり、TRAb 6.9IU/Lと高値であり、確からしいバセドウ病と診断したが、前医の甲状腺超音波検査で血流の増加なく、β遮断薬による対症療法を開始した。
1	【検査所見】血液検査では、血小板4.8万/μL、D-dimer 108.5 μg/mL、CRP 10.08 mg/dLと血液凝固障害及び炎症反応上昇あり。
0	【検査所見】血算や生化学検査では特記すべき所見なし。
1	【現症】意識は清明だが、軽度の頭痛があった。
1	【考察】患者は新型コロナワクチン接種後短期間で視神経炎を発症した。
1	【症例2】21歳、男性【主訴】胸部圧迫感【現病歴】X年Y月Z-1日COVID-19 mRNAワクチン(商品名不明)を接種後39°C台の発熱があった。
1	【入院後経過】開放腎生検を施行し、尿細管間質に形質細胞やリンパ球の高度浸潤と、尿細管上皮細胞の核腫大や胞体の平坦化を認め、急性尿細管間質性腎炎と診断した。
